,Country,Economy (GDP per Capita),Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Region,Social support,Trust (Government Corruption),Year
0,Switzerland,1.39651,0.66557,0.29678,1,7.587,0.94143,Western Europe,1.34951,0.41978,2015
1,Iceland,1.30232,0.62877,0.4363,2,7.561,0.94784,Western Europe,1.40223,0.14145,2015
2,Denmark,1.32548,0.64938,0.34139,3,7.527,0.87464,Western Europe,1.36058,0.48357,2015
3,Norway,1.459,0.66973,0.34699,4,7.522,0.88521,Western Europe,1.33095,0.36503,2015
4,Canada,1.32629,0.63297,0.45811,5,7.427,0.90563,North America,1.32261,0.32957,2015
5,Finland,1.29025,0.64169,0.23351,6,7.406,0.88911,Western Europe,1.31826,0.41372,2015
6,Netherlands,1.32944,0.61576,0.4761,7,7.378,0.89284,Western Europe,1.28017,0.31814,2015
7,Sweden,1.33171,0.6598,0.36262,8,7.364,0.91087,Western Europe,1.28907,0.43844,2015
8,New Zealand,1.25018,0.63938,0.47501,9,7.286,0.90837,Australia and New Zealand,1.31967,0.42922,2015
9,Australia,1.33358,0.65124,0.43562,10,7.284,0.93156,Australia and New Zealand,1.30923,0.35637,2015
10,Israel,1.22857,0.41319,0.33172,11,7.278,0.91387,Middle East and Northern Africa,1.22393,0.07785,2015
11,Costa Rica,0.95578,0.63376,0.25497,12,7.226,0.86027,Latin America and Caribbean,1.23788,0.10583,2015
12,Austria,1.33723,0.62433,0.33088,13,7.2,0.89042,Western Europe,1.29704,0.18676,2015
13,Mexico,1.02054,0.48181,0.14074,14,7.187,0.81444,Latin America and Caribbean,0.91451,0.21312,2015
14,United States,1.39451,0.54604,0.40105,15,7.119,0.86179,North America,1.24711,0.1589,2015
15,Brazil,0.98124,0.49049,0.14574,16,6.983,0.69702,Latin America and Caribbean,1.23287,0.17521,2015
16,Luxembourg,1.56391,0.61583,0.28034,17,6.946,0.91894,Western Europe,1.21963,0.37798,2015
17,Ireland,1.33596,0.61777,0.45901,18,6.94,0.89533,Western Europe,1.36948,0.28703,2015
18,Belgium,1.30782,0.5845,0.2225,19,6.937,0.89667,Western Europe,1.28566,0.2254,2015
19,United Arab Emirates,1.42727,0.64157,0.26428,20,6.901,0.80925,Middle East and Northern Africa,1.12575,0.38583,2015
20,United Kingdom,1.26637,0.59625,0.51912,21,6.867,0.90943,Western Europe,1.28548,0.32067,2015
21,Oman,1.36011,0.63274,0.21542,22,6.853,0.76276,Middle East and Northern Africa,1.08182,0.32524,2015
22,Venezuela,1.04424,0.42908,0.05841,23,6.81,0.72052,Latin America and Caribbean,1.25596,0.11069,2015
23,Singapore,1.52186,0.54252,0.31105,24,6.798,1.02525,Southeastern Asia,1.02,0.4921,2015
24,Panama,1.06353,0.5421,0.24434,25,6.786,0.79661,Latin America and Caribbean,1.1985,0.0927,2015
25,Germany,1.32792,0.61477,0.28214,26,6.75,0.89186,Western Europe,1.29937,0.21843,2015
26,Chile,1.10715,0.44132,0.33363,27,6.67,0.85857,Latin America and Caribbean,1.12447,0.12869,2015
27,Qatar,1.69042,0.6404,0.32573,28,6.611,0.79733,Middle East and Northern Africa,1.0786,0.52208,2015
28,France,1.27778,0.55011,0.12332,29,6.575,0.94579,Western Europe,1.26038,0.20646,2015
29,Argentina,1.05351,0.44974,0.11451,30,6.574,0.78723,Latin America and Caribbean,1.24823,0.08484,2015
30,Czech Republic,1.17898,0.46364,0.10686,31,6.505,0.84483,Central and Eastern Europe,1.20643,0.02652,2015
31,Uruguay,1.06166,0.60362,0.2324,32,6.485,0.8116,Latin America and Caribbean,1.2089,0.24558,2015
32,Colombia,0.91861,0.53466,0.18401,33,6.477,0.69077,Latin America and Caribbean,1.24018,0.0512,2015
33,Thailand,0.9669,0.55664,0.5763,34,6.455,0.7385,Southeastern Asia,1.26504,0.03187,2015
34,Saudi Arabia,1.39541,0.31048,0.13706,35,6.411,0.72025,Middle East and Northern Africa,1.08393,0.32524,2015
35,Spain,1.23011,0.45951,0.18227,36,6.329,0.95562,Western Europe,1.31379,0.06398,2015
36,Malta,1.2074,0.60365,0.51752,37,6.302,0.88721,Western Europe,1.30203,0.13586,2015
37,Taiwan,1.29098,0.3974,0.25376,38,6.298,0.8753,Eastern Asia,1.07617,0.08129,2015
38,Kuwait,1.55422,0.55499,0.16228,39,6.295,0.72492,Middle East and Northern Africa,1.16594,0.25609,2015
39,Suriname,0.99534,0.59657,0.16991,40,6.269,0.6082,Latin America and Caribbean,0.972,0.13633,2015
40,Trinidad and Tobago,1.21183,0.55884,0.31844,41,6.168,0.61483,Latin America and Caribbean,1.18354,0.0114,2015
41,El Salvador,0.76454,0.4035,0.10692,42,6.13,0.67737,Latin America and Caribbean,1.02507,0.11776,2015
42,Guatemala,0.74553,0.57733,0.27489,43,6.123,0.64425,Latin America and Caribbean,1.04356,0.09472,2015
43,Uzbekistan,0.63244,0.65821,0.22837,44,6.003,0.59772,Central and Eastern Europe,1.34043,0.30826,2015
44,Slovakia,1.16891,0.31751,0.16893,45,5.995,0.78902,Central and Eastern Europe,1.26999,0.03431,2015
45,Japan,1.27074,0.49615,0.10705,46,5.987,0.99111,Eastern Asia,1.25712,0.1806,2015
46,South Korea,1.24461,0.33208,0.18557,47,5.984,0.96538,Eastern Asia,0.95774,0.07857,2015
47,Ecuador,0.86402,0.48574,0.11541,48,5.975,0.79075,Latin America and Caribbean,0.99903,0.1809,2015
48,Bahrain,1.32376,0.45492,0.17362,49,5.96,0.74716,Middle East and Northern Africa,1.21624,0.306,2015
49,Italy,1.25114,0.26236,0.22823,50,5.948,0.95446,Western Europe,1.19777,0.02901,2015
50,Bolivia,0.68133,0.57414,0.20536,51,5.89,0.5392,Latin America and Caribbean,0.97841,0.088,2015
51,Moldova,0.59448,0.32818,0.20951,52,5.889,0.61826,Central and Eastern Europe,1.01528,0.01615,2015
52,Paraguay,0.75985,0.53899,0.3424,53,5.878,0.66098,Latin America and Caribbean,1.30477,0.08242,2015
53,Kazakhstan,1.12254,0.51649,0.11827,54,5.855,0.64368,Central and Eastern Europe,1.12241,0.08454,2015
54,Slovenia,1.18498,0.60855,0.25328,55,5.848,0.87337,Central and Eastern Europe,1.27385,0.03787,2015
55,Lithuania,1.14723,0.21342,0.02641,56,5.833,0.73128,Central and Eastern Europe,1.25745,0.01031,2015
56,Nicaragua,0.59325,0.55475,0.27815,57,5.828,0.74314,Latin America and Caribbean,1.14184,0.19317,2015
57,Peru,0.90019,0.41496,0.14982,58,5.824,0.73017,Latin America and Caribbean,0.97459,0.05989,2015
58,Belarus,1.03192,0.37938,0.11046,59,5.813,0.73608,Central and Eastern Europe,1.23289,0.1909,2015
59,Poland,1.12555,0.53122,0.16759,60,5.791,0.77903,Central and Eastern Europe,1.27948,0.04212,2015
60,Malaysia,1.12486,0.53024,0.33075,61,5.77,0.72394,Southeastern Asia,1.07023,0.10501,2015
61,Croatia,1.08254,0.25883,0.05444,62,5.759,0.78805,Central and Eastern Europe,0.79624,0.0243,2015
62,Libya,1.13145,0.41668,0.18295,63,5.754,0.7038,Middle East and Northern Africa,1.11862,0.11023,2015
63,Russia,1.13764,0.36679,0.00199,64,5.716,0.66926,Central and Eastern Europe,1.23617,0.03005,2015
64,Jamaica,0.81038,0.50442,0.2123,65,5.709,0.68741,Latin America and Caribbean,1.15102,0.02299,2015
65,North Cyprus,1.20806,0.49027,0.26169,66,5.695,0.92356,Western Europe,1.07008,0.1428,2015
66,Cyprus,1.20813,0.40672,0.30638,67,5.689,0.92356,Western Europe,0.89318,0.06146,2015
67,Algeria,0.93929,0.28579,0.07822,68,5.605,0.61766,Middle East and Northern Africa,1.07772,0.17383,2015
68,Kosovo,0.80148,0.24749,0.2831,69,5.589,0.63132,Central and Eastern Europe,0.81198,0.04741,2015
69,Turkmenistan,0.95847,0.4761,0.16979,70,5.548,0.53886,Central and Eastern Europe,1.22668,0.30844,2015
70,Mauritius,1.00761,0.56066,0.37744,71,5.477,0.7095,Sub-Saharan Africa,0.98521,0.07521,2015
71,Hong Kong,1.38604,0.59608,0.39478,72,5.474,1.01328,Eastern Asia,1.05818,0.37124,2015
72,Estonia,1.15174,0.44888,0.0868,73,5.429,0.77361,Central and Eastern Europe,1.22791,0.15184,2015
73,Indonesia,0.82827,0.46611,0.51535,74,5.399,0.63793,Southeastern Asia,1.08708,0.0,2015
74,Vietnam,0.63216,0.59444,0.1686,75,5.36,0.74676,Southeastern Asia,0.91226,0.10441,2015
75,Turkey,1.06098,0.22815,0.12253,76,5.332,0.73172,Middle East and Northern Africa,0.94632,0.15746,2015
76,Kyrgyzstan,0.47428,0.43477,0.3003,77,5.286,0.65088,Central and Eastern Europe,1.15115,0.04232,2015
77,Nigeria,0.65435,0.34334,0.27233,78,5.268,0.16007,Sub-Saharan Africa,0.90432,0.0403,2015
78,Bhutan,0.77042,0.53206,0.47998,79,5.253,0.57407,Southern Asia,1.10395,0.15445,2015
79,Azerbaijan,1.02389,0.3703,0.07799,80,5.212,0.64045,Central and Eastern Europe,0.93793,0.16065,2015
80,Pakistan,0.59543,0.12102,0.33671,81,5.194,0.51466,Southern Asia,0.41411,0.10464,2015
81,Jordan,0.90198,0.40661,0.11053,82,5.192,0.69639,Middle East and Northern Africa,1.05392,0.14293,2015
82,Montenegro,0.97438,0.1826,0.1614,82,5.192,0.72521,Central and Eastern Europe,0.90557,0.14296,2015
83,China,0.89012,0.51697,0.08185,84,5.14,0.81658,Eastern Asia,0.94675,0.02781,2015
84,Zambia,0.47038,0.48827,0.19591,85,5.129,0.29924,Sub-Saharan Africa,0.91612,0.12468,2015
85,Romania,1.04345,0.35068,0.13748,86,5.124,0.7689,Central and Eastern Europe,0.88588,0.00649,2015
86,Serbia,0.92053,0.20107,0.19231,87,5.123,0.74836,Central and Eastern Europe,1.00964,0.02617,2015
87,Portugal,1.15991,0.51469,0.13719,88,5.102,0.87519,Western Europe,1.13935,0.01078,2015
88,Latvia,1.11312,0.29671,0.18226,89,5.098,0.72437,Central and Eastern Europe,1.09562,0.06332,2015
89,Philippines,0.70532,0.62545,0.24991,90,5.073,0.58114,Southeastern Asia,1.03516,0.12279,2015
91,Morocco,0.73479,0.41691,0.07172,92,5.013,0.60954,Middle East and Northern Africa,0.64095,0.08546,2015
92,North Macedonia,0.91851,0.33457,0.22359,93,5.007,0.73545,Central and Eastern Europe,1.00232,0.05327,2015
93,Mozambique,0.08308,0.34037,0.22269,94,4.971,0.09131,Sub-Saharan Africa,1.02626,0.15603,2015
94,Albania,0.87867,0.35733,0.14272,95,4.959,0.81325,Central and Eastern Europe,0.80434,0.06413,2015
95,Bosnia and Herzegovina,0.83223,0.09245,0.24808,96,4.949,0.79081,Central and Eastern Europe,0.91916,0.00227,2015
96,Lesotho,0.37545,0.31767,0.16388,97,4.898,0.07612,Sub-Saharan Africa,1.04103,0.12504,2015
97,Dominican Republic,0.89537,0.57672,0.21684,98,4.885,0.66825,Latin America and Caribbean,1.17202,0.14234,2015
98,Laos,0.59066,0.59591,0.42192,99,4.876,0.54909,Southeastern Asia,0.73803,0.24249,2015
99,Mongolia,0.82819,0.43626,0.3323,100,4.874,0.60268,Eastern Asia,1.3006,0.02666,2015
100,Swaziland,0.71206,0.30658,0.18259,101,4.867,0.07566,Sub-Saharan Africa,1.07284,0.0306,2015
101,Greece,1.15406,0.07699,0.0,102,4.857,0.88213,Western Europe,0.92933,0.01397,2015
102,Lebanon,1.02564,0.33916,0.21854,103,4.839,0.83947,Middle East and Northern Africa,0.80001,0.04582,2015
103,Hungary,1.12094,0.32112,0.128,104,4.8,0.75905,Central and Eastern Europe,1.20215,0.02758,2015
104,Honduras,0.59532,0.40148,0.23027,105,4.788,0.6951,Latin America and Caribbean,0.95348,0.06825,2015
105,Tajikistan,0.39047,0.47216,0.22974,106,4.786,0.57379,Central and Eastern Europe,0.85563,0.15072,2015
106,Tunisia,0.88113,0.26268,0.06431,107,4.739,0.73793,Middle East and Northern Africa,0.60429,0.06358,2015
107,Palestinian Territories,0.59867,0.24499,0.11251,108,4.715,0.66015,Middle East and Northern Africa,0.92558,0.12905,2015
108,Bangladesh,0.39753,0.4082,0.21222,109,4.694,0.60164,Southern Asia,0.43106,0.12569,2015
109,Iran,1.0088,0.30033,0.38086,110,4.686,0.69805,Middle East and Northern Africa,0.54447,0.05863,2015
110,Ukraine,0.79907,0.25123,0.15275,111,4.681,0.6739,Central and Eastern Europe,1.20278,0.02961,2015
111,Iraq,0.98549,0.0,0.17922,112,4.677,0.60237,Middle East and Northern Africa,0.81889,0.13788,2015
112,South Africa,0.92049,0.33207,0.11973,113,4.642,0.27688,Sub-Saharan Africa,1.18468,0.08884,2015
113,Ghana,0.54558,0.42342,0.23087,114,4.633,0.40132,Sub-Saharan Africa,0.67954,0.04355,2015
114,Zimbabwe,0.271,0.25861,0.18987,115,4.61,0.33475,Sub-Saharan Africa,1.03276,0.08079,2015
115,Liberia,0.0712,0.28531,0.24362,116,4.571,0.34201,Sub-Saharan Africa,0.78968,0.06232,2015
116,India,0.64499,0.39786,0.26475,117,4.565,0.51529,Southern Asia,0.38174,0.08492,2015
117,Sudan,0.52107,0.10081,0.19062,118,4.55,0.36878,Sub-Saharan Africa,1.01404,0.1466,2015
118,Haiti,0.26673,0.24425,0.46187,119,4.518,0.38847,Latin America and Caribbean,0.74302,0.17175,2015
119,RD Congo,0.0,0.22605,0.24834,120,4.517,0.09806,Sub-Saharan Africa,1.0012,0.07625,2015
120,Nepal,0.35997,0.38282,0.32296,121,4.514,0.56874,Southern Asia,0.86449,0.05907,2015
121,Ethiopia,0.19073,0.4345,0.24325,122,4.512,0.44055,Sub-Saharan Africa,0.60406,0.15048,2015
122,Sierra Leone,0.33024,0.4084,0.21488,123,4.507,0.0,Sub-Saharan Africa,0.95571,0.08786,2015
123,Mauritania,0.45407,0.24232,0.219,124,4.436,0.35874,Sub-Saharan Africa,0.86908,0.17461,2015
124,Kenya,0.36471,0.42215,0.37542,125,4.419,0.41435,Sub-Saharan Africa,0.99876,0.05839,2015
125,Djibouti,0.44025,0.46074,0.18093,126,4.369,0.36291,Sub-Saharan Africa,0.59207,0.28105,2015
126,Armenia,0.76821,0.19847,0.07855,127,4.35,0.7299,Central and Eastern Europe,0.77711,0.039,2015
127,Botswana,0.99355,0.49495,0.10461,128,4.332,0.04776,Sub-Saharan Africa,1.10464,0.12474,2015
128,Myanmar,0.27108,0.44017,0.79588,129,4.307,0.48246,Southeastern Asia,0.70905,0.19034,2015
129,Georgia,0.7419,0.40577,0.05547,130,4.297,0.72926,Central and Eastern Europe,0.38562,0.38331,2015
130,Malawi,0.01604,0.43054,0.33128,131,4.292,0.22562,Sub-Saharan Africa,0.41134,0.06977,2015
131,Sri Lanka,0.83524,0.53726,0.40828,132,4.271,0.70806,Southern Asia,1.01905,0.09179,2015
132,Cameroon,0.4225,0.49309,0.20618,133,4.252,0.23402,Sub-Saharan Africa,0.88767,0.05786,2015
133,Bulgaria,1.01216,0.30587,0.11921,134,4.218,0.76649,Central and Eastern Europe,1.10614,0.00872,2015
134,Egypt,0.8818,0.17288,0.11291,135,4.194,0.61712,Middle East and Northern Africa,0.747,0.06324,2015
135,Yemen,0.54649,0.35571,0.09131,136,4.077,0.40064,Middle East and Northern Africa,0.68093,0.07854,2015
136,Angola,0.75778,0.10384,0.12344,137,4.033,0.16683,Sub-Saharan Africa,0.8604,0.07122,2015
137,Mali,0.26074,0.38857,0.18798,138,3.995,0.20583,Sub-Saharan Africa,1.03526,0.12352,2015
138,Congo,0.67866,0.41466,0.12388,139,3.989,0.31051,Sub-Saharan Africa,0.6629,0.11686,2015
139,Comoros,0.23906,0.22917,0.17441,140,3.956,0.36315,Sub-Saharan Africa,0.79273,0.199,2015
140,Uganda,0.21102,0.45727,0.29066,141,3.931,0.33861,Sub-Saharan Africa,1.13299,0.07267,2015
141,Senegal,0.36498,0.36772,0.20843,142,3.904,0.4354,Sub-Saharan Africa,0.97619,0.10713,2015
142,Gabon,1.06024,0.31914,0.06822,143,3.896,0.43372,Sub-Saharan Africa,0.90528,0.11091,2015
143,Niger,0.0694,0.47692,0.19387,144,3.845,0.29707,Sub-Saharan Africa,0.77265,0.15639,2015
144,Cambodia,0.46038,0.66246,0.40359,145,3.819,0.61114,Southeastern Asia,0.62736,0.07247,2015
145,Tanzania,0.2852,0.32878,0.34377,146,3.781,0.38215,Sub-Saharan Africa,1.00268,0.05747,2015
146,Madagascar,0.20824,0.19184,0.21333,147,3.681,0.46721,Sub-Saharan Africa,0.66801,0.08124,2015
147,Central African Republic,0.0785,0.48879,0.23835,148,3.678,0.06699,Sub-Saharan Africa,0.0,0.08289,2015
148,Chad,0.34193,0.23501,0.18386,149,3.667,0.1501,Sub-Saharan Africa,0.76062,0.05269,2015
149,Guinea,0.17417,0.37725,0.28657,150,3.656,0.24009,Sub-Saharan Africa,0.46475,0.12139,2015
150,Ivory Coast,0.46534,0.46866,0.20165,151,3.655,0.15185,Sub-Saharan Africa,0.77115,0.17922,2015
151,Burkina Faso,0.25812,0.39493,0.21747,152,3.587,0.27125,Sub-Saharan Africa,0.85188,0.12832,2015
152,Afghanistan,0.31982,0.23414,0.3651,153,3.575,0.30335,Southern Asia,0.30285,0.09719,2015
153,Rwanda,0.22208,0.59201,0.22628,154,3.465,0.42864,Sub-Saharan Africa,0.7737,0.55191,2015
154,Benin,0.28665,0.4845,0.1826,155,3.34,0.3191,Sub-Saharan Africa,0.35386,0.0801,2015
155,Syria,0.6632,0.15684,0.47179,156,3.006,0.72193,Middle East and Northern Africa,0.47489,0.18906,2015
156,Burundi,0.0153,0.1185,0.19727,157,2.905,0.22396,Sub-Saharan Africa,0.41587,0.10062,2015
157,Togo,0.20868,0.36453,0.16681,158,2.839,0.28443,Sub-Saharan Africa,0.13995,0.10731,2015
158,Denmark,1.44178,0.57941,0.36171,1,7.526,0.79504,Western Europe,1.16374,0.44453,2016
159,Switzerland,1.52733,0.58557,0.28083,2,7.509,0.86303,Western Europe,1.14524,0.41203,2016
160,Iceland,1.42666,0.56624,0.47678,3,7.501,0.86733,Western Europe,1.18326,0.14975,2016
161,Norway,1.57744,0.59609,0.37895,4,7.498,0.79579,Western Europe,1.1269,0.35776,2016
162,Finland,1.40598,0.57104,0.25492,5,7.413,0.81091,Western Europe,1.13464,0.41004,2016
163,Canada,1.44015,0.5737,0.44834,6,7.404,0.8276,North America,1.0961,0.31329,2016
164,Netherlands,1.46468,0.55211,0.47416,7,7.339,0.81231,Western Europe,1.02912,0.29927,2016
165,New Zealand,1.36066,0.58147,0.49401,8,7.334,0.83096,Australia and New Zealand,1.17278,0.41904,2016
166,Australia,1.44443,0.56837,0.47407,9,7.313,0.8512,Australia and New Zealand,1.10476,0.32331,2016
167,Sweden,1.45181,0.58218,0.38254,10,7.291,0.83121,Western Europe,1.08764,0.40867,2016
168,Israel,1.33766,0.36432,0.32288,11,7.267,0.84917,Middle East and Northern Africa,0.99537,0.08728,2016
169,Austria,1.45038,0.54355,0.32865,12,7.119,0.80565,Western Europe,1.08383,0.21348,2016
170,United States,1.50796,0.48163,0.41077,13,7.104,0.779,North America,1.04782,0.14868,2016
171,Costa Rica,1.06879,0.55225,0.22553,14,7.087,0.76146,Latin America and Caribbean,1.02152,0.10547,2016
172,Germany,1.44787,0.53466,0.30452,16,6.994,0.81487,Western Europe,1.09774,0.28551,2016
173,Brazil,1.08754,0.40425,0.15776,17,6.952,0.61415,Latin America and Caribbean,1.03938,0.14166,2016
174,Belgium,1.42539,0.51354,0.2424,18,6.929,0.81959,Western Europe,1.05249,0.26248,2016
175,Ireland,1.48341,0.54008,0.44963,19,6.907,0.81455,Western Europe,1.16157,0.29754,2016
176,Luxembourg,1.69752,0.5487,0.27571,20,6.871,0.84542,Western Europe,1.03999,0.35329,2016
177,Mexico,1.11508,0.37709,0.11735,21,6.778,0.71143,Latin America and Caribbean,0.7146,0.18355,2016
178,Singapore,1.64555,0.4877,0.32706,22,6.739,0.94719,Southeastern Asia,0.86758,0.46987,2016
179,United Kingdom,1.40283,0.50036,0.50156,23,6.725,0.80991,Western Europe,1.08672,0.27399,2016
180,Chile,1.2167,0.37789,0.31595,24,6.705,0.81883,Latin America and Caribbean,0.90587,0.11451,2016
181,Panama,1.18306,0.48927,0.2418,25,6.701,0.70835,Latin America and Caribbean,0.98912,0.08423,2016
182,Argentina,1.15137,0.42284,0.10989,26,6.65,0.69711,Latin America and Caribbean,1.06612,0.07296,2016
183,Czech Republic,1.30915,0.41418,0.09929,27,6.596,0.76376,Central and Eastern Europe,1.00793,0.03986,2016
184,United Arab Emirates,1.57352,0.56215,0.26591,28,6.573,0.72993,Middle East and Northern Africa,0.87114,0.35561,2016
185,Uruguay,1.18157,0.54388,0.18056,29,6.545,0.72183,Latin America and Caribbean,1.03143,0.21394,2016
186,Malta,1.30782,0.54994,0.56237,30,6.488,0.80315,Western Europe,1.09879,0.17554,2016
187,Colombia,1.03032,0.44735,0.15626,31,6.481,0.59659,Latin America and Caribbean,1.02169,0.05399,2016
188,France,1.39488,0.46562,0.1216,32,6.478,0.83795,Western Europe,1.00508,0.17808,2016
189,Thailand,1.0893,0.49553,0.58696,33,6.474,0.64915,Southeastern Asia,1.04477,0.02833,2016
190,Saudi Arabia,1.48953,0.37904,0.15457,34,6.379,0.59267,Middle East and Northern Africa,0.84829,0.30008,2016
191,Taiwan,1.39729,0.32377,0.25495,34,6.379,0.79565,Eastern Asia,0.92624,0.0663,2016
192,Qatar,1.82427,0.56679,0.32388,36,6.375,0.71723,Middle East and Northern Africa,0.87964,0.48049,2016
193,Spain,1.34253,0.37545,0.17665,37,6.361,0.87896,Western Europe,1.12945,0.06137,2016
194,Algeria,1.05266,0.21006,0.07044,38,6.355,0.61804,Middle East and Northern Africa,0.83309,0.16157,2016
195,Guatemala,0.83454,0.50379,0.28808,39,6.324,0.54039,Latin America and Caribbean,0.87119,0.08701,2016
196,Suriname,1.09686,0.52234,0.16665,40,6.269,0.50933,Latin America and Caribbean,0.77866,0.12692,2016
197,Kuwait,1.61714,0.43166,0.15965,41,6.239,0.63569,Middle East and Northern Africa,0.87758,0.23669,2016
198,Bahrain,1.44024,0.47375,0.17147,42,6.218,0.65696,Middle East and Northern Africa,0.94397,0.25772,2016
199,Trinidad and Tobago,1.32572,0.48453,0.31935,43,6.168,0.52608,Latin America and Caribbean,0.98569,0.01241,2016
200,Venezuela,1.13367,0.19847,0.0425,44,6.084,0.61904,Latin America and Caribbean,1.03302,0.08304,2016
201,Slovakia,1.27973,0.23391,0.13837,45,6.078,0.70367,Central and Eastern Europe,1.08268,0.02947,2016
202,El Salvador,0.8737,0.37269,0.08877,46,6.068,0.596,Latin America and Caribbean,0.80975,0.10613,2016
203,Malaysia,1.25142,0.39031,0.41474,47,6.005,0.62366,Southeastern Asia,0.88025,0.09081,2016
204,Nicaragua,0.69384,0.46582,0.29773,48,5.992,0.65213,Latin America and Caribbean,0.89521,0.16292,2016
205,Uzbekistan,0.73591,0.60848,0.34326,49,5.987,0.50163,Central and Eastern Europe,1.1681,0.28333,2016
206,Italy,1.35495,0.18827,0.16684,50,5.977,0.85102,Western Europe,1.04167,0.02556,2016
