,Country,Economy (GDP per Capita),Freedom,Generosity,Happiness Rank,Happiness Score,Health (Life Expectancy),Region,Social support,Trust (Government Corruption),Year
520,Paraguay,0.835,0.541,0.162,64,5.681,0.615,Latin America and Caribbean,1.522,0.074,2018
521,Peru,0.934,0.53,0.092,65,5.663,0.674,Latin America and Caribbean,1.249,0.034,2018
522,Kosovo,0.855,0.448,0.274,66,5.662,0.578,Central and Eastern Europe,1.23,0.023,2018
523,Moldova,0.657,0.232,0.171,67,5.64,0.62,Central and Eastern Europe,1.301,0.0,2018
524,Turkmenistan,1.016,0.417,0.199,68,5.636,0.517,Central and Eastern Europe,1.533,0.037,2018
525,Hungary,1.171,0.259,0.061,69,5.62,0.732,Central and Eastern Europe,1.401,0.022,2018
526,Libya,0.985,0.496,0.116,70,5.566,0.553,Middle East and Northern Africa,1.35,0.148,2018
527,Philippines,0.775,0.643,0.12,71,5.524,0.513,Southeastern Asia,1.312,0.105,2018
528,Honduras,0.62,0.459,0.197,72,5.504,0.622,Latin America and Caribbean,1.205,0.074,2018
529,Belarus,1.039,0.307,0.101,73,5.483,0.7,Central and Eastern Europe,1.498,0.154,2018
530,Turkey,1.148,0.324,0.106,74,5.483,0.686,Middle East and Northern Africa,1.38,0.109,2018
531,Pakistan,0.652,0.334,0.216,75,5.472,0.424,Southern Asia,0.81,0.113,2018
532,Hong Kong,1.405,0.524,0.246,76,5.43,1.03,Eastern Asia,1.29,0.291,2018
533,Portugal,1.188,0.562,0.055,77,5.41,0.884,Western Europe,1.429,0.017,2018
534,Serbia,0.975,0.288,0.134,78,5.398,0.685,Central and Eastern Europe,1.369,0.043,2018
535,Greece,1.154,0.131,0.0,79,5.358,0.879,Western Europe,1.202,0.044,2018
536,Lebanon,0.965,0.503,0.214,80,5.358,0.785,Middle East and Northern Africa,1.179,0.136,2018
537,Montenegro,1.017,0.259,0.111,81,5.347,0.729,Central and Eastern Europe,1.279,0.081,2018
538,Croatia,1.115,0.38,0.12,82,5.321,0.737,Central and Eastern Europe,1.161,0.039,2018
539,Dominican Republic,0.982,0.578,0.12,83,5.302,0.614,Latin America and Caribbean,1.441,0.106,2018
540,Algeria,0.979,0.077,0.055,84,5.295,0.687,Middle East and Northern Africa,1.154,0.135,2018
541,Morocco,0.779,0.46,0.026,85,5.254,0.669,Middle East and Northern Africa,0.797,0.074,2018
542,China,0.989,0.597,0.029,86,5.246,0.799,Eastern Asia,1.142,0.103,2018
543,Azerbaijan,1.024,0.43,0.031,87,5.201,0.603,Central and Eastern Europe,1.161,0.176,2018
544,Tajikistan,0.474,0.292,0.187,88,5.199,0.598,Central and Eastern Europe,1.166,0.034,2018
545,North Macedonia,0.959,0.394,0.173,89,5.185,0.691,Central and Eastern Europe,1.239,0.052,2018
546,Jordan,0.822,0.468,0.13,90,5.161,0.645,Middle East and Northern Africa,1.265,0.134,2018
547,Nigeria,0.689,0.462,0.201,91,5.155,0.048,Sub-Saharan Africa,1.172,0.032,2018
548,Kyrgyzstan,0.53,0.54,0.281,92,5.131,0.594,Central and Eastern Europe,1.416,0.035,2018
549,Bosnia and Herzegovina,0.915,0.28,0.216,93,5.129,0.758,Central and Eastern Europe,1.078,0.0,2018
550,Mongolia,0.914,0.395,0.253,94,5.125,0.575,Eastern Asia,1.517,0.032,2018
551,Vietnam,0.715,0.618,0.177,95,5.103,0.702,Southeastern Asia,1.365,0.079,2018
552,Indonesia,0.899,0.538,0.484,96,5.093,0.522,Southeastern Asia,1.215,0.018,2018
553,Bhutan,0.796,0.541,0.364,97,5.082,0.527,Southern Asia,1.335,0.171,2018
554,Cameroon,0.535,0.454,0.183,99,4.975,0.182,Sub-Saharan Africa,0.891,0.043,2018
555,Bulgaria,1.054,0.359,0.064,100,4.933,0.712,Central and Eastern Europe,1.515,0.009,2018
556,Nepal,0.425,0.526,0.302,101,4.88,0.539,Southern Asia,1.228,0.078,2018
557,Venezuela,0.996,0.133,0.056,102,4.806,0.657,Latin America and Caribbean,1.469,0.052,2018
558,Gabon,1.036,0.356,0.032,103,4.758,0.404,Sub-Saharan Africa,1.164,0.052,2018
559,Palestinian Territories,0.642,0.266,0.086,104,4.743,0.602,Middle East and Northern Africa,1.217,0.076,2018
560,South Africa,0.94,0.516,0.103,105,4.724,0.33,Sub-Saharan Africa,1.41,0.056,2018
561,Iran,1.059,0.459,0.282,106,4.707,0.691,Middle East and Northern Africa,0.771,0.129,2018
562,Ivory Coast,0.541,0.467,0.146,107,4.671,0.08,Sub-Saharan Africa,0.872,0.103,2018
563,Ghana,0.592,0.499,0.212,108,4.657,0.337,Sub-Saharan Africa,0.896,0.029,2018
564,Senegal,0.429,0.406,0.138,109,4.631,0.433,Sub-Saharan Africa,1.117,0.082,2018
565,Laos,0.72,0.626,0.23,110,4.623,0.441,Southeastern Asia,1.034,0.174,2018
566,Tunisia,0.9,0.271,0.04,111,4.592,0.69,Middle East and Northern Africa,0.906,0.063,2018
567,Albania,0.916,0.419,0.149,112,4.586,0.79,Central and Eastern Europe,0.817,0.032,2018
568,Sierra Leone,0.256,0.355,0.238,113,4.571,0.0,Sub-Saharan Africa,0.813,0.053,2018
569,Congo,0.682,0.514,0.091,114,4.559,0.343,Sub-Saharan Africa,0.811,0.077,2018
570,Bangladesh,0.532,0.58,0.153,115,4.5,0.579,Southern Asia,0.85,0.144,2018
571,Sri Lanka,0.918,0.585,0.307,116,4.471,0.672,Southern Asia,1.314,0.05,2018
572,Iraq,1.01,0.304,0.148,117,4.456,0.536,Middle East and Northern Africa,0.971,0.095,2018
573,Mali,0.37,0.367,0.139,118,4.447,0.152,Sub-Saharan Africa,1.233,0.056,2018
574,Cambodia,0.549,0.696,0.256,120,4.433,0.457,Southeastern Asia,1.088,0.065,2018
575,Burkina Faso,0.314,0.312,0.175,121,4.424,0.254,Sub-Saharan Africa,1.097,0.128,2018
576,Egypt,0.885,0.312,0.092,122,4.419,0.553,Middle East and Northern Africa,1.025,0.107,2018
577,Mozambique,0.198,0.531,0.206,123,4.417,0.173,Sub-Saharan Africa,0.902,0.158,2018
578,Kenya,0.493,0.504,0.352,124,4.41,0.454,Sub-Saharan Africa,1.048,0.055,2018
579,Zambia,0.562,0.503,0.221,125,4.377,0.295,Sub-Saharan Africa,1.047,0.082,2018
580,Mauritania,0.557,0.129,0.134,126,4.356,0.292,Sub-Saharan Africa,1.245,0.093,2018
581,Ethiopia,0.308,0.452,0.22,127,4.35,0.391,Sub-Saharan Africa,0.95,0.146,2018
582,Georgia,0.853,0.375,0.038,128,4.34,0.643,Central and Eastern Europe,0.592,0.215,2018
583,Armenia,0.816,0.26,0.077,129,4.321,0.666,Central and Eastern Europe,0.99,0.028,2018
584,Myanmar,0.682,0.58,0.598,130,4.308,0.429,Southeastern Asia,1.174,0.178,2018
585,Chad,0.358,0.189,0.181,131,4.301,0.053,Sub-Saharan Africa,0.907,0.06,2018
586,RD Congo,0.069,0.312,0.197,132,4.245,0.204,Sub-Saharan Africa,1.136,0.052,2018
587,India,0.721,0.539,0.172,133,4.19,0.485,Southern Asia,0.747,0.093,2018
588,Niger,0.131,0.39,0.175,134,4.166,0.221,Sub-Saharan Africa,0.867,0.099,2018
589,Uganda,0.322,0.45,0.259,135,4.161,0.237,Sub-Saharan Africa,1.09,0.061,2018
590,Benin,0.378,0.44,0.163,136,4.141,0.24,Sub-Saharan Africa,0.372,0.067,2018
591,Sudan,0.605,0.016,0.134,137,4.139,0.312,Sub-Saharan Africa,1.24,0.082,2018
592,Ukraine,0.793,0.163,0.187,138,4.103,0.609,Central and Eastern Europe,1.413,0.011,2018
593,Togo,0.259,0.434,0.158,139,3.999,0.253,Sub-Saharan Africa,0.474,0.101,2018
594,Guinea,0.344,0.394,0.185,140,3.964,0.211,Sub-Saharan Africa,0.792,0.094,2018
595,Lesotho,0.472,0.423,0.116,141,3.808,0.079,Sub-Saharan Africa,1.215,0.112,2018
596,Angola,0.73,0.0,0.079,142,3.795,0.269,Sub-Saharan Africa,1.125,0.061,2018
597,Madagascar,0.262,0.221,0.155,143,3.774,0.402,Sub-Saharan Africa,0.908,0.049,2018
598,Zimbabwe,0.357,0.406,0.132,144,3.692,0.248,Sub-Saharan Africa,1.094,0.099,2018
599,Afghanistan,0.332,0.085,0.191,145,3.632,0.255,Southern Asia,0.537,0.036,2018
600,Botswana,1.017,0.557,0.042,146,3.59,0.417,Sub-Saharan Africa,1.174,0.092,2018
601,Malawi,0.186,0.531,0.21,147,3.587,0.306,Sub-Saharan Africa,0.541,0.08,2018
602,Haiti,0.315,0.025,0.392,148,3.582,0.289,Latin America and Caribbean,0.714,0.104,2018
603,Liberia,0.076,0.419,0.206,149,3.495,0.267,Sub-Saharan Africa,0.858,0.03,2018
604,Syria,0.689,0.088,0.376,150,3.462,0.539,Middle East and Northern Africa,0.382,0.144,2018
605,Rwanda,0.332,0.636,0.2,151,3.408,0.4,Sub-Saharan Africa,0.896,0.444,2018
606,Yemen,0.442,0.244,0.083,152,3.355,0.343,Middle East and Northern Africa,1.073,0.064,2018
607,Tanzania,0.455,0.481,0.27,153,3.303,0.381,Sub-Saharan Africa,0.991,0.097,2018
608,Central African Republic,0.024,0.305,0.218,155,3.083,0.01,Sub-Saharan Africa,0.0,0.038,2018
609,Burundi,0.091,0.065,0.149,156,2.905,0.145,Sub-Saharan Africa,0.627,0.076,2018
610,Finland,1.34,0.596,0.153,1,7.769,0.986,Western Europe,1.587,0.393,2019
611,Denmark,1.383,0.592,0.252,2,7.6,0.996,Western Europe,1.573,0.41,2019
612,Norway,1.488,0.603,0.271,3,7.554,1.028,Western Europe,1.582,0.341,2019
613,Iceland,1.38,0.591,0.354,4,7.494,1.026,Western Europe,1.624,0.118,2019
614,Netherlands,1.396,0.557,0.322,5,7.488,0.999,Western Europe,1.522,0.298,2019
615,Switzerland,1.452,0.572,0.263,6,7.48,1.052,Western Europe,1.526,0.343,2019
616,Sweden,1.387,0.574,0.267,7,7.343,1.009,Western Europe,1.487,0.373,2019
617,New Zealand,1.303,0.585,0.33,8,7.307,1.026,Australia and New Zealand,1.557,0.38,2019
618,Canada,1.365,0.584,0.285,9,7.278,1.039,North America,1.505,0.308,2019
619,Austria,1.376,0.532,0.244,10,7.246,1.016,Western Europe,1.475,0.226,2019
620,Australia,1.372,0.557,0.332,11,7.228,1.036,Australia and New Zealand,1.548,0.29,2019
621,Costa Rica,1.034,0.558,0.144,12,7.167,0.963,Latin America and Caribbean,1.441,0.093,2019
622,Israel,1.276,0.371,0.261,13,7.139,1.029,Middle East and Northern Africa,1.455,0.082,2019
623,Luxembourg,1.609,0.526,0.194,14,7.09,1.012,Western Europe,1.479,0.316,2019
624,United Kingdom,1.333,0.45,0.348,15,7.054,0.996,Western Europe,1.538,0.278,2019
625,Ireland,1.499,0.516,0.298,16,7.021,0.999,Western Europe,1.553,0.31,2019
626,Germany,1.373,0.495,0.261,17,6.985,0.987,Western Europe,1.454,0.265,2019
627,Belgium,1.356,0.473,0.16,18,6.923,0.986,Western Europe,1.504,0.21,2019
628,United States,1.433,0.454,0.28,19,6.892,0.874,North America,1.457,0.128,2019
629,Czech Republic,1.269,0.457,0.046,20,6.852,0.92,Central and Eastern Europe,1.487,0.036,2019
630,United Arab Emirates,1.503,0.598,0.262,21,6.825,0.825,Middle East and Northern Africa,1.31,0.182,2019
631,Malta,1.3,0.564,0.375,22,6.726,0.999,Western Europe,1.52,0.151,2019
632,Mexico,1.07,0.433,0.074,23,6.595,0.861,Latin America and Caribbean,1.323,0.073,2019
633,France,1.324,0.436,0.111,24,6.592,1.045,Western Europe,1.472,0.183,2019
634,Taiwan,1.368,0.351,0.242,25,6.446,0.914,Eastern Asia,1.43,0.097,2019
635,Chile,1.159,0.357,0.187,26,6.444,0.92,Latin America and Caribbean,1.369,0.056,2019
636,Guatemala,0.8,0.535,0.175,27,6.436,0.746,Latin America and Caribbean,1.269,0.078,2019
637,Saudi Arabia,1.403,0.439,0.08,28,6.375,0.795,Middle East and Northern Africa,1.357,0.132,2019
638,Qatar,1.684,0.555,0.22,29,6.374,0.871,Middle East and Northern Africa,1.313,0.167,2019
639,Spain,1.286,0.362,0.153,30,6.354,1.062,Western Europe,1.484,0.079,2019
640,Panama,1.149,0.516,0.109,31,6.321,0.91,Latin America and Caribbean,1.442,0.054,2019
641,Brazil,1.004,0.39,0.099,32,6.3,0.802,Latin America and Caribbean,1.439,0.086,2019
642,Uruguay,1.124,0.523,0.127,33,6.293,0.891,Latin America and Caribbean,1.465,0.15,2019
643,Singapore,1.572,0.556,0.271,34,6.262,1.141,Southeastern Asia,1.463,0.453,2019
644,El Salvador,0.794,0.43,0.093,35,6.253,0.789,Latin America and Caribbean,1.242,0.074,2019
645,Italy,1.294,0.231,0.158,36,6.223,1.039,Western Europe,1.488,0.03,2019
646,Bahrain,1.362,0.536,0.255,37,6.199,0.871,Middle East and Northern Africa,1.368,0.11,2019
647,Slovakia,1.246,0.334,0.121,38,6.198,0.881,Central and Eastern Europe,1.504,0.014,2019
648,Poland,1.206,0.483,0.117,40,6.182,0.884,Central and Eastern Europe,1.438,0.05,2019
649,Uzbekistan,0.745,0.631,0.322,41,6.174,0.756,Central and Eastern Europe,1.529,0.24,2019
650,Lithuania,1.238,0.291,0.043,42,6.149,0.818,Central and Eastern Europe,1.515,0.042,2019
651,Colombia,0.985,0.47,0.099,43,6.125,0.841,Latin America and Caribbean,1.41,0.034,2019
652,Slovenia,1.258,0.564,0.144,44,6.118,0.953,Central and Eastern Europe,1.523,0.057,2019
653,Nicaragua,0.694,0.435,0.2,45,6.105,0.835,Latin America and Caribbean,1.325,0.127,2019
654,Kosovo,0.882,0.489,0.262,46,6.1,0.758,Central and Eastern Europe,1.232,0.006,2019
655,Argentina,1.092,0.471,0.066,47,6.086,0.881,Latin America and Caribbean,1.432,0.05,2019
656,Romania,1.162,0.462,0.083,48,6.07,0.825,Central and Eastern Europe,1.232,0.005,2019
657,Cyprus,1.263,0.406,0.19,49,6.046,1.042,Western Europe,1.223,0.041,2019
658,Ecuador,0.912,0.498,0.126,50,6.028,0.868,Latin America and Caribbean,1.312,0.087,2019
659,Kuwait,1.5,0.493,0.142,51,6.021,0.808,Middle East and Northern Africa,1.319,0.097,2019
660,Thailand,1.05,0.557,0.359,52,6.008,0.828,Southeastern Asia,1.409,0.028,2019
661,Latvia,1.187,0.264,0.075,53,5.94,0.812,Central and Eastern Europe,1.465,0.064,2019
662,South Korea,1.301,0.159,0.175,54,5.895,1.036,Eastern Asia,1.219,0.056,2019
663,Estonia,1.237,0.495,0.103,55,5.893,0.874,Central and Eastern Europe,1.528,0.161,2019
664,Jamaica,0.831,0.49,0.107,56,5.89,0.831,Latin America and Caribbean,1.478,0.028,2019
665,Mauritius,1.12,0.498,0.215,57,5.888,0.798,Sub-Saharan Africa,1.402,0.06,2019
666,Japan,1.327,0.445,0.069,58,5.886,1.088,Eastern Asia,1.419,0.14,2019
667,Honduras,0.642,0.507,0.246,59,5.86,0.828,Latin America and Caribbean,1.236,0.078,2019
668,Kazakhstan,1.173,0.41,0.146,60,5.809,0.729,Central and Eastern Europe,1.508,0.096,2019
669,Bolivia,0.776,0.511,0.137,61,5.779,0.706,Latin America and Caribbean,1.209,0.064,2019
670,Hungary,1.201,0.199,0.081,62,5.758,0.828,Central and Eastern Europe,1.41,0.02,2019
671,Paraguay,0.855,0.514,0.184,63,5.743,0.777,Latin America and Caribbean,1.475,0.08,2019
672,Peru,0.96,0.455,0.083,65,5.697,0.854,Latin America and Caribbean,1.274,0.027,2019
673,Portugal,1.221,0.508,0.047,66,5.693,0.999,Western Europe,1.431,0.025,2019
674,Pakistan,0.677,0.313,0.22,67,5.653,0.535,Southern Asia,0.886,0.098,2019
675,Russia,1.183,0.334,0.082,68,5.648,0.726,Central and Eastern Europe,1.452,0.031,2019
676,Philippines,0.807,0.558,0.117,69,5.631,0.657,Southeastern Asia,1.293,0.107,2019
677,Serbia,1.004,0.282,0.137,70,5.603,0.854,Central and Eastern Europe,1.383,0.039,2019
678,Moldova,0.685,0.245,0.181,71,5.529,0.739,Central and Eastern Europe,1.328,0.0,2019
679,Libya,1.044,0.416,0.133,72,5.525,0.673,Middle East and Northern Africa,1.303,0.152,2019
680,Montenegro,1.051,0.197,0.142,73,5.523,0.871,Central and Eastern Europe,1.361,0.08,2019
681,Tajikistan,0.493,0.389,0.23,74,5.467,0.718,Central and Eastern Europe,1.098,0.144,2019
682,Croatia,1.155,0.296,0.119,75,5.432,0.914,Central and Eastern Europe,1.266,0.022,2019
683,Hong Kong,1.438,0.44,0.258,76,5.43,1.122,Eastern Asia,1.277,0.287,2019
684,Dominican Republic,1.015,0.497,0.113,77,5.425,0.779,Latin America and Caribbean,1.401,0.101,2019
685,Bosnia and Herzegovina,0.945,0.212,0.263,78,5.386,0.845,Central and Eastern Europe,1.212,0.006,2019
686,Turkey,1.183,0.195,0.083,79,5.373,0.808,Middle East and Northern Africa,1.36,0.106,2019
687,Malaysia,1.221,0.508,0.26,80,5.339,0.828,Southeastern Asia,1.171,0.024,2019
688,Belarus,1.067,0.235,0.094,81,5.323,0.789,Central and Eastern Europe,1.465,0.142,2019
689,Greece,1.181,0.067,0.0,82,5.287,0.999,Western Europe,1.156,0.034,2019
690,Mongolia,0.948,0.317,0.235,83,5.285,0.667,Eastern Asia,1.531,0.038,2019
691,Nigeria,0.696,0.426,0.215,85,5.265,0.245,Sub-Saharan Africa,1.111,0.041,2019
692,Kyrgyzstan,0.551,0.508,0.3,86,5.261,0.723,Central and Eastern Europe,1.438,0.023,2019
693,Turkmenistan,1.052,0.394,0.244,87,5.247,0.657,Central and Eastern Europe,1.538,0.028,2019
694,Algeria,1.002,0.086,0.073,88,5.211,0.785,Middle East and Northern Africa,1.16,0.114,2019
695,Morocco,0.801,0.418,0.036,89,5.208,0.782,Middle East and Northern Africa,0.782,0.076,2019
696,Azerbaijan,1.043,0.351,0.035,90,5.208,0.769,Central and Eastern Europe,1.147,0.182,2019
697,Lebanon,0.987,0.216,0.166,91,5.197,0.815,Middle East and Northern Africa,1.224,0.027,2019
698,Indonesia,0.931,0.491,0.498,92,5.192,0.66,Southeastern Asia,1.203,0.028,2019
699,China,1.029,0.521,0.058,93,5.191,0.893,Eastern Asia,1.125,0.1,2019
700,Vietnam,0.741,0.543,0.147,94,5.175,0.851,Southeastern Asia,1.346,0.073,2019
701,Bhutan,0.813,0.457,0.37,95,5.082,0.604,Southern Asia,1.321,0.167,2019
702,Cameroon,0.549,0.381,0.187,96,5.044,0.331,Sub-Saharan Africa,0.91,0.037,2019
703,Bulgaria,1.092,0.311,0.081,97,5.011,0.815,Central and Eastern Europe,1.513,0.004,2019
704,Ghana,0.611,0.381,0.245,98,4.996,0.486,Sub-Saharan Africa,0.868,0.04,2019
705,Ivory Coast,0.569,0.352,0.154,99,4.944,0.232,Sub-Saharan Africa,0.808,0.09,2019
706,Nepal,0.446,0.439,0.285,100,4.913,0.677,Southern Asia,1.226,0.089,2019
707,Jordan,0.837,0.383,0.11,101,4.906,0.815,Middle East and Northern Africa,1.225,0.13,2019
708,Benin,0.393,0.349,0.175,102,4.883,0.397,Sub-Saharan Africa,0.437,0.082,2019
709,Congo,0.673,0.372,0.105,103,4.812,0.508,Sub-Saharan Africa,0.799,0.093,2019
710,Gabon,1.057,0.295,0.043,104,4.799,0.571,Sub-Saharan Africa,1.183,0.055,2019
711,Laos,0.764,0.547,0.266,105,4.796,0.551,Southeastern Asia,1.03,0.164,2019
712,South Africa,0.96,0.389,0.13,106,4.722,0.469,Sub-Saharan Africa,1.351,0.055,2019
713,Albania,0.947,0.383,0.178,107,4.719,0.874,Central and Eastern Europe,0.848,0.027,2019
714,Venezuela,0.96,0.154,0.064,108,4.707,0.805,Latin America and Caribbean,1.427,0.047,2019
715,Cambodia,0.574,0.609,0.232,109,4.7,0.637,Southeastern Asia,1.122,0.062,2019
716,Palestinian Territories,0.657,0.225,0.103,110,4.696,0.672,Middle East and Northern Africa,1.247,0.066,2019
717,Senegal,0.45,0.292,0.153,111,4.681,0.571,Sub-Saharan Africa,1.134,0.072,2019
718,Niger,0.138,0.318,0.188,114,4.628,0.366,Sub-Saharan Africa,0.774,0.102,2019
719,Burkina Faso,0.331,0.255,0.177,115,4.587,0.38,Sub-Saharan Africa,1.056,0.113,2019
720,Armenia,0.85,0.283,0.095,116,4.559,0.815,Central and Eastern Europe,1.055,0.064,2019
721,Iran,1.1,0.305,0.27,117,4.548,0.785,Middle East and Northern Africa,0.842,0.125,2019
722,Guinea,0.38,0.332,0.207,118,4.534,0.375,Sub-Saharan Africa,0.829,0.086,2019
723,Georgia,0.886,0.346,0.043,119,4.519,0.752,Central and Eastern Europe,0.666,0.164,2019
724,Kenya,0.512,0.431,0.372,121,4.509,0.581,Sub-Saharan Africa,0.983,0.053,2019
725,Mauritania,0.57,0.066,0.106,122,4.49,0.489,Sub-Saharan Africa,1.167,0.088,2019
726,Mozambique,0.204,0.494,0.197,123,4.466,0.39,Sub-Saharan Africa,0.986,0.138,2019
727,Tunisia,0.921,0.167,0.059,124,4.461,0.815,Middle East and Northern Africa,1.0,0.055,2019
728,Bangladesh,0.562,0.527,0.166,125,4.456,0.723,Southern Asia,0.928,0.143,2019
729,Iraq,1.043,0.241,0.148,126,4.437,0.574,Middle East and Northern Africa,0.98,0.089,2019
730,RD Congo,0.094,0.269,0.212,127,4.418,0.357,Sub-Saharan Africa,1.125,0.053,2019
731,Mali,0.385,0.327,0.153,128,4.39,0.308,Sub-Saharan Africa,1.105,0.052,2019
732,Sierra Leone,0.268,0.309,0.252,129,4.374,0.242,Sub-Saharan Africa,0.841,0.045,2019
733,Sri Lanka,0.949,0.47,0.244,130,4.366,0.831,Southern Asia,1.265,0.047,2019
734,Myanmar,0.71,0.525,0.566,131,4.36,0.555,Southeastern Asia,1.181,0.172,2019
735,Chad,0.35,0.174,0.198,132,4.35,0.192,Sub-Saharan Africa,0.766,0.078,2019
736,Ukraine,0.82,0.178,0.187,133,4.332,0.739,Central and Eastern Europe,1.39,0.01,2019
737,Ethiopia,0.336,0.344,0.209,134,4.286,0.532,Sub-Saharan Africa,1.033,0.1,2019
738,Swaziland,0.811,0.313,0.074,135,4.212,0.0,Sub-Saharan Africa,1.149,0.135,2019
739,Uganda,0.332,0.356,0.252,136,4.189,0.443,Sub-Saharan Africa,1.069,0.06,2019
740,Egypt,0.913,0.241,0.076,137,4.166,0.644,Middle East and Northern Africa,1.039,0.067,2019
741,Zambia,0.578,0.431,0.247,138,4.107,0.426,Sub-Saharan Africa,1.058,0.087,2019
742,Togo,0.275,0.293,0.177,139,4.085,0.41,Sub-Saharan Africa,0.572,0.085,2019
743,India,0.755,0.498,0.2,140,4.015,0.588,Southern Asia,0.765,0.085,2019
744,Liberia,0.073,0.37,0.233,141,3.975,0.443,Sub-Saharan Africa,0.922,0.033,2019
745,Comoros,0.274,0.142,0.275,142,3.973,0.505,Sub-Saharan Africa,0.757,0.078,2019
746,Madagascar,0.274,0.148,0.169,143,3.933,0.555,Sub-Saharan Africa,0.916,0.041,2019
747,Lesotho,0.489,0.359,0.107,144,3.802,0.168,Sub-Saharan Africa,1.169,0.093,2019
748,Burundi,0.046,0.22,0.176,145,3.775,0.38,Sub-Saharan Africa,0.447,0.18,2019
749,Zimbabwe,0.366,0.361,0.151,146,3.663,0.433,Sub-Saharan Africa,1.114,0.089,2019
750,Haiti,0.323,0.026,0.419,147,3.597,0.449,Latin America and Caribbean,0.688,0.11,2019
751,Botswana,1.041,0.455,0.025,148,3.488,0.538,Sub-Saharan Africa,1.145,0.1,2019
752,Syria,0.619,0.013,0.331,149,3.462,0.44,Middle East and Northern Africa,0.378,0.141,2019
753,Malawi,0.191,0.443,0.218,150,3.41,0.495,Sub-Saharan Africa,0.56,0.089,2019
754,Yemen,0.287,0.143,0.108,151,3.38,0.463,Middle East and Northern Africa,1.163,0.077,2019
755,Rwanda,0.359,0.555,0.217,152,3.334,0.614,Sub-Saharan Africa,0.711,0.411,2019
756,Tanzania,0.476,0.417,0.276,153,3.231,0.499,Sub-Saharan Africa,0.885,0.147,2019
757,Afghanistan,0.35,0.0,0.158,154,3.203,0.361,Southern Asia,0.517,0.025,2019
758,Central African Republic,0.026,0.225,0.235,155,3.083,0.105,Sub-Saharan Africa,0.0,0.035,2019
